Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Aleksej Pokusevski (16439906),Aleksej Pokusevski,16439906,C/UTIL,3000,OKC@MIL 02/19/2021 08:00PM ET,OKC,12.38
SF,Josh Hall (16439911),Josh Hall,16439911,SF/F/UTIL,3000,OKC@MIL 02/19/2021 08:00PM ET,OKC,4.61
PG/SG,Langston Galloway (16439627),Langston Galloway,16439627,PG/SG/G/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,PHO,7.77
SF,Abdel Nader (16439650),Abdel Nader,16439650,SF/F/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,PHO,12.65
SG/SF,Sindarius Thornwell (16439676),Sindarius Thornwell,16439676,SG/SF/F/G/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,NO,2.88
C,Damian Jones (16439681),Damian Jones,16439681,C/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,PHO,3.86
PG/SG,Jevon Carter (16439730),Jevon Carter,16439730,PG/SG/G/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,PHO,7.89
C,Will Magnay (16439775),Will Magnay,16439775,C/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,NO,0
SF/PF,Wenyen Gabriel (16439815),Wenyen Gabriel,16439815,SF/PF/F/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,NO,2.17
PG/SG,Ty-Shon Alexander (16439824),Ty-Shon Alexander,16439824,PG/SG/G/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,PHO,0.92
SF/PF,Naji Marshall (16439828),Naji Marshall,16439828,SF/PF/F/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,NO,1.67
C,Jalen Smith (16439867),Jalen Smith,16439867,C/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,PHO,4.25
C,Jaxson Hayes (16439884),Jaxson Hayes,16439884,C/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,NO,10.38
PF,Nicolo Melli (16439900),Nicolo Melli,16439900,PF/F/UTIL,3000,PHO@NO 02/19/2021 08:00PM ET,NO,7.06
